id,deskripsi,platform,tujuan,fitur_utama,target_user,estimasi_deadline,estimasi_budget,industri,ui/ux,hosting
1556,Butuh integrasi API Xendit untuk payment gateway di website kami.,PHP,Integrasi Payment,"Virtual account, credit card, e-wallet",Pembeli online,15 hari,4500000,Travel,Tidak,Tidak
1557,Kami ingin membuat tool berbasis web untuk perhitungan biaya proyek.,React,Tool Berbasis Web/Software,"Kalkulator, export PDF, save project",Project manager,28 hari,9500000,Jasa,Ya,Ya
1558,Perlu aplikasi desktop untuk manajemen perpustakaan kampus.,Java,Aplikasi Desktop,"Manajemen buku, peminjaman, denda",Pustakawan,35 hari,10500000,Pendidikan,Ya,Tidak
1559,Butuh sistem automasi untuk follow-up lead marketing via email dan WhatsApp.,Python,Automasi,"Scheduling, templating, reporting",Tim sales,20 hari,8000000,Marketing,Tidak,Ya
1560,Kami ingin membuat API untuk integrasi data absensi dari mesin fingerprint.,.NET,API,"Sinkronisasi data, laporan, notifikasi",HRD,30 hari,12500000,Manufaktur,Tidak,Ya
1561,Kami membutuhkan website untuk menampilkan portofolio perusahaan kami yang bergerak di bidang arsitektur. Harap tampilkan semua proyek terbaik kami.,WordPress,Company Profile,"Gallery proyek, form kontak, halaman about us",Calon klien,30 hari,7500000,Arsitektur,Ya,Ya
1562,"Saya ingin membuat toko online untuk menjual produk kecantikan organik buatan sendiri, dengan fitur pembayaran dan pengiriman.",Shopify,E-Commerce,"Katalog produk, keranjang belanja, pembayaran, tracking pengiriman",Wanita usia 25-45,45 hari,12000000,Kecantikan,Ya,Ya
1563,Perlu landing page untuk promosi event webinar tentang digital marketing yang akan kami adakan bulan depan.,HTML/CSS,Landing Page,"Form pendaftaran, countdown timer, detail speaker",Pemilik bisnis UKM,14 hari,3500000,Pendidikan,Ya,Tidak
1564,Butuh sistem untuk mengelola inventaris gudang dan tracking pengiriman barang untuk toko furniture kami.,PHP/Laravel,Sistem Backend,"Dashboard admin, laporan stok, tracking order",Staff internal,60 hari,18000000,Retail,Tidak,Ya
1565,Ingin membuat aplikasi mobile untuk pelanggan salon kami agar bisa booking appointment dan melihat layanan yang tersedia.,React Native,Aplikasi Mobile,"Booking sistem, notifikasi, profil user",Pelanggan salon,45 hari,15000000,Kecantikan,Ya,Ya
1566,Butuh integrasi payment gateway Midtrans dan OVO untuk website e-commerce yang sudah ada.,API,Integrasi Payment,"Multiple payment method, auto verification, invoice generator",Pengguna website,21 hari,5000000,E-Commerce,Tidak,Tidak
1567,Perlu API untuk menghubungkan sistem POS kami dengan database pusat dan website kami.,Node.js,API,"Authentication, data sync, webhook",Developer internal,30 hari,9000000,F&B,Tidak,Ya
1568,"Saya mau buat aplikasi desktop untuk kasir di restoran saya, yang bisa cetak struk dan laporan penjualan.",Java,Aplikasi Desktop,"Point of sale, cetak struk, manajemen menu, laporan",Kasir restoran,40 hari,10000000,F&B,Ya,Tidak
1569,Butuh automasi untuk proses approval dokumen dan notifikasi ke departemen terkait di perusahaan kami.,Python,Automasi,"Workflow approval, notifikasi, tracking status",Staff perusahaan,25 hari,8000000,Manufaktur,Tidak,Ya
1570,Ingin membuat tool berbasis web untuk kalkulator mortgage dan simulasi cicilan KPR untuk klien kami.,JavaScript,Tool Berbasis Web/Software,"Kalkulator, grafik visualisasi, export PDF",Calon pembeli properti,20 hari,6500000,Real Estate,Ya,Ya
1571,Perlu redesign UI/UX untuk aplikasi mobile fintech kami yang sudah ada agar lebih user-friendly.,Figma,Design UI/UX,"Wireframe, prototype, design system",Pengguna aplikasi,35 hari,13500000,Fintech,Ya,Tidak
1572,"Kami ingin membuat website untuk menampilkan katalog produk furniture, tanpa fitur pembelian online.",WordPress,Website,"Katalog produk, galeri, form kontak",Calon pembeli,25 hari,5500000,Furniture,Ya,Ya
1573,Butuh landing page untuk campaign pengumpulan donasi untuk bencana alam dengan integrasi pembayaran.,React.js,Landing Page,"Payment gateway, progress bar donasi, testimonial",Donatur,15 hari,4500000,Non-Profit,Ya,Ya
1574,Ingin membuat sistem backend untuk manajemen keanggotaan gym kami dan tracking progress member.,Django,Sistem Backend,"Member database, absensi, progress tracking",Staff gym,50 hari,14000000,Health & Fitness,Ya,Ya
1575,"Perlu e-commerce untuk menjual produk digital seperti ebook, video course, dan template.",WooCommerce,E-Commerce,"Digital downloads, membership, affiliate system",Profesional,40 hari,11000000,Edukasi,Ya,Ya
1576,Kami perlu aplikasi mobile untuk salespeople kami agar bisa mencatat pesanan dan stok dari lapangan.,Flutter,Aplikasi Mobile,"Offline mode, sinkronisasi data, form order",Sales team,35 hari,13000000,Distribusi,Ya,Ya
1577,Butuh integrasi API Xendit untuk website donasi yang sudah kami miliki.,PHP,Integrasi Payment,"Multiple payment channel, recurring payment",Tim developer,20 hari,4000000,Non-Profit,Tidak,Tidak
1578,Ingin membuat company profile untuk firma hukum kami dengan fitur booking konsultasi online.,Next.js,Company Profile,"Profil pengacara, booking sistem, blog",Calon klien,30 hari,9500000,Hukum,Ya,Ya
1579,"Perlu automasi untuk proses rekrutmen karyawan, dari aplikasi sampai penjadwalan interview.",Python/Django,Automasi,"Form aplikasi, email notification, dashboard HR",HR team,45 hari,16000000,HR & Rekrutmen,Ya,Ya
1580,Butuh tool berbasis web untuk mengelola dan memonitor kampanye iklan digital kami di berbagai platform.,MERN Stack,Tool Berbasis Web/Software,"Dashboard analytics, automatic reporting, budget tracking",Digital marketer,55 hari,20000000,Marketing,Ya,Ya
1581,Butuh website untuk bisnis travel dengan penampilan yang modern dan dapat melihat ketersediaan paket wisata,Web,Website,"Booking online, galeri wisata, blog, integrasi Google Maps",Traveler dan agen wisata,30 hari,7500000,Travel,Ya,Ya
1582,Saya ingin membuat toko online untuk produk furniture handmade kami,"Web, Mobile",E-Commerce,"Katalog produk, keranjang belanja, pembayaran online, notifikasi email",Pencinta furniture dan dekorasi rumah,45 hari,15000000,Retail,Ya,Ya
1583,Perlu halaman landing untuk promosi event tahunan perusahaan,Web,Landing Page,"Form pendaftaran, countdown timer, galeri, integrasi sosial media",Calon peserta event,10 hari,3500000,Event,Ya,Ya
1584,Kami butuh sistem manajemen inventaris untuk gudang distribusi,Web,Sistem Backend,"Dashboard stok, laporan masuk/keluar, pencarian produk, manajemen user",Staff gudang dan manajer,60 hari,20000000,Logistik,Tidak,Ya
1585,Ingin membuat aplikasi mobile untuk layanan antar makanan lokal,Mobile,Aplikasi Mobile,"GPS tracking, pemesanan, pembayaran, rating driver",Konsumen makanan lokal,90 hari,25000000,Food & Beverage,Ya,Ya
1586,Membutuhkan profil perusahaan digital untuk startup teknologi kami,Web,Company Profile,"Halaman tentang kami, portofolio, testimoni, kontak",Investor dan calon klien,20 hari,8000000,Teknologi,Ya,Ya
1587,Butuh API untuk integrasi data ERP dengan website,Web,API,"Autentikasi, transfer data, dokumentasi, monitoring",Developer internal,40 hari,12000000,Manufaktur,Tidak,Ya
1588,Ingin membangun tool untuk kalkulasi biaya konstruksi secara online,Web,Tool Berbasis Web/Software,"Kalkulator, export PDF, save project, multi-user",Kontraktor dan developer properti,30 hari,9000000,Konstruksi,Ya,Ya
1589,Perlu integrasi payment gateway untuk aplikasi yang sudah ada,"Web, Mobile",Integrasi Payment,"Multi-bank, recurring payment, refund management",Pengguna aplikasi existing,15 hari,6500000,Fintech,Tidak,Ya
1590,Ingin membuat design ulang UI/UX aplikasi HR kami yang sudah ketinggalan,Web,Design UI/UX,"Design system, wireframe, prototype, user testing",Karyawan internal,25 hari,8500000,HR,Ya,Tidak
1591,Butuh aplikasi desktop untuk manajemen klinik gigi,Desktop,Aplikasi Desktop,"Manajemen pasien, jadwal dokter, billing, rekam medis",Staff klinik dan dokter,60 hari,18000000,Kesehatan,Ya,Tidak
1592,Perlu sistem otomasi untuk pengolahan data laporan keuangan bulanan,Web,Automasi,"Import data, visualisasi, perhitungan otomatis, laporan PDF",Staff keuangan,35 hari,11000000,Keuangan,Ya,Ya
1593,Ingin membuat website portofolio untuk fotografer dan videografer,Web,Website,"Galeri responsif, video streaming, kontak form, blog",Klien fotografi dan videografi,20 hari,6000000,Kreatif,Ya,Ya
1594,Butuh e-commerce untuk toko kosmetik dengan fitur membership,Web,E-Commerce,"Katalog produk, rewards point, subscription, review produk",Wanita usia 18-40 tahun,50 hari,17500000,Kosmetik,Ya,Ya
1595,Perlu aplikasi mobile untuk monitoring peralatan IoT di pabrik,Mobile,Aplikasi Mobile,"Real-time monitoring, notifikasi, historis data, grafik",Teknisi dan manajer pabrik,70 hari,22000000,Manufaktur,Ya,Ya
1596,Butuh landing page untuk peluncuran produk baru suplemen kesehatan,Web,Landing Page,"Video produk, testimoni, FAQ, form pre-order",Konsumen sadar kesehatan,15 hari,4500000,Kesehatan,Ya,Ya
1597,Ingin membuat sistem backend untuk manajemen sekolah online,Web,Sistem Backend,"Manajemen kelas, nilai, absensi, pembayaran SPP",Guru dan admin sekolah,80 hari,24000000,Pendidikan,Ya,Ya
1598,Perlu company profile untuk firma hukum yang baru dibentuk,Web,Company Profile,"Profil pengacara, area praktik, artikel hukum, booking konsultasi",Calon klien hukum,25 hari,9500000,Hukum,Ya,Ya
1599,Butuh aplikasi desktop untuk manajemen perpustakaan kampus,Desktop,Aplikasi Desktop,"Katalog buku, peminjaman, denda, laporan bulanan",Staff perpustakaan,45 hari,14000000,Pendidikan,Ya,Tidak
1600,Ingin membangun API untuk integrasi data antar cabang bank,Web,API,"Secure authentication, data encryption, logging, backup",Developer internal bank,60 hari,27000000,Perbankan,Tidak,Ya
1601,Saya butuh website untuk bisnis salon kecantikan saya yang baru dibuka di Jakarta,WordPress,Website,"Booking online, galeri hasil treatment, testimonial",Wanita 25-45 tahun,14 hari,5000000,Kecantikan,Ya,Ya
1602,Perusahaan konstruksi kami membutuhkan company profile untuk presentasi ke investor,HTML/CSS,Company Profile,"Portfolio proyek, tim ahli, testimoni klien","Investor, perusahaan mitra",21 hari,7500000,Konstruksi,Ya,Ya
1603,Ingin membuat toko online untuk produk fashion handmade buatan lokal,Shopify,E-Commerce,"Keranjang belanja, pembayaran online, filter produk",Pecinta fashion usia 18-35,30 hari,12000000,Fashion,Ya,Ya
1604,Butuh landing page untuk promosi event webinar bisnis digital,Vue.js,Landing Page,"Form registrasi, countdown timer, FAQ",Pebisnis pemula,7 hari,3500000,Edukasi,Ya,Ya
1605,Perlu sistem manajemen inventory untuk toko bahan bangunan,PHP Laravel,Sistem Backend,"Tracking stok, laporan penjualan, notifikasi stok menipis",Staff toko,45 hari,18000000,Retail,Tidak,Ya
1606,Ingin mengintegrasikan pembayaran digital di aplikasi travel yang sudah ada,Node.js,Integrasi Payment,"Multi payment gateway, invoice digital, refund system",Traveler usia 20-45,21 hari,9000000,Travel,Tidak,Tidak
1607,Butuh API untuk sinkronisasi data antara website dan aplikasi mobile kami,Python Django,API,"Authentication, data syncing, logging",Developer internal,30 hari,15000000,Teknologi,Tidak,Ya
1608,Kami ingin aplikasi mobile untuk marketplace pertanian lokal,React Native,Aplikasi Mobile,"Chat petani-pembeli, tracking pengiriman, pembayaran",Petani dan distributor,60 hari,25000000,Pertanian,Ya,Ya
1609,Butuh aplikasi desktop untuk manajemen klinik gigi,Electron.js,Aplikasi Desktop,"Manajemen pasien, jadwal dokter, rekam medis",Staff klinik,45 hari,20000000,Kesehatan,Ya,Tidak
1610,Ingin mengotomatisasi proses invoice dan pengingat pembayaran,Python,Automasi,"Email otomatis, sinkronisasi dengan akuntansi, laporan",Departemen keuangan,14 hari,8000000,Keuangan,Tidak,Ya
1611,Perlu tool berbasis web untuk menganalisis data penjualan dari berbagai cabang,MERN Stack,Tool Berbasis Web/Software,"Dashboard interaktif, export data, visualisasi grafik",Manajer regional,30 hari,16000000,Retail,Ya,Ya
1612,Butuh desain ulang antarmuka aplikasi HR kami yang sudah ketinggalan zaman,Figma,Design UI/UX,"Design system, mobile responsive, user flow",Karyawan perusahaan,21 hari,9500000,SDM,Ya,Tidak
1613,Ingin membuat website katalog properti dengan fitur pencarian lanjutan,React + Node.js,Website,"Filter properti, virtual tour, kalkulator KPR",Pencari properti,30 hari,14000000,Real Estate,Ya,Ya
1614,Perusahaan manufaktur kami butuh company profile untuk pameran internasional,WordPress,Company Profile,"Video corporate, animasi proses produksi, multilingual",Buyer internasional,21 hari,10000000,Manufaktur,Ya,Ya
1615,Perlu platform e-commerce khusus untuk produk kerajinan tradisional Indonesia,WooCommerce,E-Commerce,"Pembayaran internasional, kustomisasi produk, drop shipping",Turis dan kolektor,45 hari,22000000,Kerajinan,Ya,Ya
1616,Butuh landing page untuk peluncuran aplikasi fintech baru,React,Landing Page,"Video demo, form pre-register, FAQ interaktif",Milenial urban,10 hari,6000000,Fintech,Ya,Ya
1617,Ingin sistem backend untuk manajemen komunitas olahraga,Django,Sistem Backend,"Manajemen member, booking fasilitas, pembayaran iuran",Admin komunitas,40 hari,17500000,Olahraga,Tidak,Ya
1618,Perlu integrasi payment gateway untuk website donasi,PHP,Integrasi Payment,"Recurring payment, invoice otomatis, dashboard donatur",Donatur individu,15 hari,7500000,Non-profit,Tidak,Tidak
1619,Butuh API untuk menghubungkan sistem POS dengan accounting software,Node.js,API,"Real-time sync, error handling, data validation",Staff accounting,25 hari,13000000,Retail,Tidak,Ya
1620,Ingin membuat aplikasi mobile untuk komunitas pecinta kuliner,Flutter,Aplikasi Mobile,"Review restoran, sharing foto, maps integrasi",Foodie usia 20-40,50 hari,19000000,F&B,Ya,Ya
1621,Saya ingin membuat website untuk toko fashion saya yang baru dibuka. Website sederhana yang bisa menampilkan produk dan informasi toko.,WordPress,Website,"Katalog produk, form kontak, gallery, about us",Pencinta fashion usia 20-35 tahun,30 hari,5000000,Fashion,Ya,Ya
1622,Kami perusahaan manufaktur membutuhkan sistem untuk tracking inventory dan pemesanan dari supplier.,Laravel,Sistem Backend,"Tracking inventory, notifikasi stok, laporan bulanan, dashboard admin",Staff gudang dan purchasing,60 hari,20000000,Manufaktur,Ya,Ya
1623,Butuh landing page untuk event seminar bisnis crypto bulan depan yang menarik dan bisa tracking registrasi peserta.,React,Landing Page,"Form registrasi, payment gateway, countdown timer, informasi speaker",Investor dan trader crypto,15 hari,3500000,Finansial,Ya,Ya
1624,"Perlu aplikasi mobile untuk ojek lokal di kota kami, mirip seperti Gojek tapi untuk skala kecil.",Flutter,Aplikasi Mobile,"Pemetaan, tracking driver, chat, sistem pembayaran",Pengguna smartphone usia 17-50 tahun,90 hari,25000000,Transportasi,Ya,Tidak
1625,"Kami butuh company profile yang elegan untuk konsultan pajak kami, termasuk profil tim dan layanan yang ditawarkan.",WordPress,Company Profile,"Profil perusahaan, layanan, testimonial, blog artikel pajak",Pebisnis dan individu membutuhkan konsultasi pajak,21 hari,4500000,Keuangan,Ya,Ya
1626,Ingin membuat toko online untuk usaha kue rumahan saya dengan fitur pre-order dan pengiriman area Jakarta.,WooCommerce,E-Commerce,"Katalog produk, keranjang belanja, pre-order, checkout, tracking pesanan",Pecinta kue dan makanan di Jakarta,45 hari,8500000,Kuliner,Ya,Ya
1627,Butuh API untuk integrasi data dari sistem lama ke sistem baru pada aplikasi keuangan perusahaan.,Node.js,API,"Endpoint untuk data transaksi, authentication, data sync",Developer internal,30 hari,12000000,Teknologi,Tidak,Ya
1628,Kami mencari developer untuk membuat software desktop kasir untuk restoran kami dengan 3 cabang.,Java,Aplikasi Desktop,"Point of sale, inventory, laporan penjualan, multi cabang",Staff kasir restoran,60 hari,15000000,F&B,Ya,Tidak
1629,Perlu tool berbasis web untuk manajemen proyek internal tim marketing kami.,Vue.js,Tool Berbasis Web/Software,"Kanban board, time tracking, file sharing, assignment",Tim marketing internal,40 hari,9000000,Marketing,Ya,Ya
1630,Ingin mengintegrasikan payment gateway Midtrans ke website toko online yang sudah ada.,PHP,Integrasi Payment,"Multiple payment method, notifikasi, invoicing, refund",Pelanggan toko online,14 hari,3000000,E-Commerce,Tidak,Tidak
1631,Kami butuh design UI/UX untuk aplikasi fintech yang sedang dikembangkan.,Figma,Design UI/UX,"Mobile app design, user flow, wireframes, styleguide",Pengguna layanan pinjaman online,25 hari,7500000,Fintech,Ya,Tidak
1632,Perlu sistem automasi untuk email marketing berdasarkan perilaku pengunjung website.,Python,Automasi,"Email scheduling, segmentasi user, analitik, template email",Tim marketing dan sales,30 hari,11000000,Digital Marketing,Tidak,Ya
1633,Kami membutuhkan company profile untuk startup teknologi AI kami untuk menarik investor.,React,Company Profile,"Showcase produk, profil tim, visi misi, contact form",Investor dan perusahaan partner,35 hari,9500000,Teknologi,Ya,Ya
1634,Ingin membangun e-commerce untuk produk furniture rumah tangga dengan fitur AR untuk preview.,Shopify + React Native,E-Commerce,"AR preview, katalog produk, review, checkout, dashboard admin",Konsumen furniture 25-45 tahun,75 hari,23000000,Retail,Ya,Ya
1635,Butuh landing page untuk peluncuran produk skincare baru dengan sistem pre-order.,HTML/CSS/JS,Landing Page,"Form pre-order, video produk, testimonial, FAQ",Wanita usia 18-35 tahun,10 hari,2500000,Kecantikan,Ya,Ya
1636,Perlu sistem backend untuk mengelola pendaftaran siswa baru di sekolah kami.,CodeIgniter,Sistem Backend,"Form pendaftaran, verifikasi dokumen, pembayaran, reporting",Staff admin sekolah,45 hari,14000000,Pendidikan,Ya,Ya
1637,Ingin membuat aplikasi mobile untuk komunitas olahraga lari kami dengan fitur tracking dan event.,React Native,Aplikasi Mobile,"GPS tracking, statistik, jadwal event, leaderboard",Komunitas pelari 20-40 tahun,50 hari,18000000,Olahraga,Ya,Ya
1638,Kami butuh website marketplace untuk menghubungkan petani lokal dengan buyer.,Laravel + Vue,Website,"Profil petani, katalog produk, chat, sistem pemesanan",Petani dan pembeli hasil pertanian,90 hari,27000000,Pertanian,Ya,Ya
1639,Perlu tool berbasis web untuk manajemen inventory bengkel mobil kami.,Django,Tool Berbasis Web/Software,"Inventory parts, service history, estimasi biaya, invoice",Mekanik dan admin bengkel,40 hari,13500000,Otomotif,Ya,Ya
1640,Ingin membuat API untuk integrasi data pasien antara klinik dan rumah sakit kami.,Spring Boot,API,"Data pasien, riwayat medis, appointment, billing",Developer internal rumah sakit,60 hari,19000000,Kesehatan,Tidak,Ya
1641,Saya butuh website katalog produk untuk bisnis furnitur saya dengan fitur pencarian dan filter,WordPress,Company Profile,"Katalog Produk, Formulir Kontak, Galeri Produk",Pembeli Furnitur,30 hari,8000000,Furniture,Ya,Ya
1642,Butuh sistem POS untuk toko kelontong dengan manajemen inventaris,Web App,Sistem Backend,"Manajemen Stok, Laporan Penjualan, Dashboard Admin",Pemilik Toko,45 hari,15000000,Retail,Ya,Ya
1643,Ingin membuat landing page untuk promosi event seminar bisnis,React,Landing Page,"Form Pendaftaran, Timeline Event, Countdown",Calon Peserta Seminar,14 hari,3500000,Event,Ya,Ya
1644,Butuh toko online untuk jualan barang-barang handmade lokal,Shopify,E-Commerce,"Keranjang Belanja, Pembayaran Online, Manajemen Produk",Pembeli Online,60 hari,12000000,Kerajinan,Ya,Ya
1645,Perlu sistem booking untuk layanan salon kecantikan,Laravel,Aplikasi Mobile,"Kalendar Booking, Notifikasi, Profil Pelanggan",Pelanggan Salon,40 hari,9500000,Kecantikan,Ya,Ya
1646,Butuh aplikasi tracking pengiriman barang untuk bisnis logistik,React Native,Aplikasi Mobile,"GPS Tracking, Notifikasi Status, Riwayat Pengiriman",Pengirim dan Penerima,90 hari,25000000,Logistik,Ya,Ya
1647,Perlu website company profile untuk firma hukum dengan booking konsultasi,WordPress,Company Profile,"Profil Pengacara, Jadwal Konsultasi, Testimonial",Calon Klien,21 hari,7000000,Hukum,Ya,Ya
1648,Butuh integrasi payment gateway untuk aplikasi yang sudah ada,PHP,Integrasi Payment,"Multi-payment, Invoice, Laporan Transaksi",Pengguna Aplikasi,30 hari,8500000,Fintech,Tidak,Tidak
1649,Ingin buat sistem manajemen karyawan untuk startup 50 orang,Laravel,Sistem Backend,"Absensi, Manajemen Kinerja, Slip Gaji",HR dan Karyawan,75 hari,18000000,SDM,Ya,Ya
1650,Butuh API untuk mengintegrasikan data dari beberapa platform,Node.js,API,"Endpoint CRUD, Autentikasi, Dokumentasi API",Developer,45 hari,14000000,Software,Tidak,Ya
1651,Perlu aplikasi desktop untuk manajemen perpustakaan kampus,Electron,Aplikasi Desktop,"Peminjaman Buku, Database Anggota, Scan Barcode",Staff Perpustakaan,60 hari,16500000,Pendidikan,Ya,Tidak
1652,Ingin redesign UI/UX aplikasi travel yang sudah ada,Figma,Design UI/UX,"Wireframe, Prototype, Design System",Traveler,25 hari,9000000,Travel,Ya,Tidak
1653,Butuh automasi pengiriman invoice bulanan ke pelanggan,Python,Automasi,"Email Scheduler, Template Invoice, Tracking Status",Tim Finance,20 hari,5500000,Keuangan,Tidak,Ya
1654,Perlu sistem manajemen klinik dengan fitur rekam medis,Laravel,Tool Berbasis Web/Software,"Database Pasien, Jadwal Dokter, Resep Digital",Dokter dan Admin,90 hari,22000000,Kesehatan,Ya,Ya
1655,Ingin membuat marketplace untuk produk-produk UMKM lokal,PHP,E-Commerce,"Seller Dashboard, Rating, Multiple Vendor",Penjual dan Pembeli,120 hari,28000000,Marketplace,Ya,Ya
1656,Butuh website portofolio untuk studio arsitektur,React,Company Profile,"Galeri Proyek, Testimoni, Formulir Konsultasi",Calon Klien,30 hari,7500000,Arsitektur,Ya,Ya
1657,Perlu sistem tiket support untuk layanan pelanggan,Laravel,Tool Berbasis Web/Software,"Ticketing, Knowledge Base, Live Chat",Customer Service,45 hari,13000000,Customer Service,Ya,Ya
1658,Ingin buat aplikasi keuangan pribadi dengan fitur budgeting,Flutter,Aplikasi Mobile,"Tracking Pengeluaran, Grafik Analisis, Reminder",Pengguna Umum,60 hari,15000000,Personal Finance,Ya,Tidak
1659,Butuh sistem reservasi untuk restoran dengan multiple cabang,PHP,Tool Berbasis Web/Software,"Booking Meja, Manajemen Antrian, Dashboard Admin",Pelanggan Restoran,50 hari,11500000,F&B,Ya,Ya
1660,Perlu landing page untuk peluncuran produk baru dengan pre-order,Next.js,Landing Page,"Form Pre-order, Countdown, Galeri Produk",Calon Pembeli,14 hari,4500000,Produk Konsumen,Ya,Ya
1661,Kami butuh website resmi untuk menampilkan produk makanan organik kami ke konsumen,WordPress,Company Profile,"Katalog produk, Formulir kontak, Blog, Testimoni",UMKM dan konsumen akhir,30 hari,5000000,Food & Beverage,Ya,Ya
1662,Butuh sistem untuk mengelola inventaris warehouse dengan pembaruan realtime,Laravel,Sistem Backend,"Dashboard, Tracking stok, Ekspor laporan, Notifikasi",Staff warehouse dan manajer,60 hari,20000000,Logistik,Tidak,Ya
1663,Perusahaan startup butuh landing page untuk peluncuran produk baru dengan integrasi newsletter,Next.js,Landing Page,"CTA, Formulir email, Animasi, Video intro",Potential investor dan early adopter,15 hari,3500000,Teknologi,Ya,Ya
1664,Tolong buatkan kami toko online untuk bisnis fashion yang baru mulai,Shopify,E-Commerce,"Keranjang belanja, Pembayaran, Filter produk, Wishlist",Wanita 18-35 tahun,45 hari,8500000,Fashion,Ya,Ya
1665,Butuh aplikasi kasir untuk restoran kami dengan fitur split bill dan print struk,React Native,Aplikasi Mobile,"POS, Manajemen meja, Laporan penjualan, Split bill",Kasir dan manajer restoran,40 hari,15000000,Hospitality,Ya,Tidak
1666,Kami membutuhkan integrasi pembayaran QRIS dan VA untuk toko online yang sudah ada,PHP,Integrasi Payment,"Multi payment gateway, Notifikasi, Reconciliation",Pelanggan toko online,20 hari,5500000,E-Commerce,Tidak,Tidak
1667,Ingin membuat API untuk menghubungkan sistem ERP dengan aplikasi mobile sales kami,Node.js,API,"Authentication, CRUD data, Logging, Rate limiting",Tim sales dan developer,25 hari,12000000,Manufaktur,Tidak,Ya
1668,Tolong buatkan aplikasi desktop untuk mengelola pasien di klinik gigi kami,Electron,Aplikasi Desktop,"Database pasien, Jadwal, Riwayat perawatan, Billing",Dokter dan administrasi klinik,50 hari,18000000,Kesehatan,Ya,Tidak
1669,Kami butuh software untuk mengotomatisasi proses approval dokumen internal perusahaan,Python,Automasi,"Workflow, Document tracking, Reminder, Reporting",Karyawan internal,35 hari,14500000,Korporat,Ya,Ya
1670,Perlu desain UI/UX yang menarik untuk aplikasi edukasi anak usia 5-10 tahun,Figma,Design UI/UX,"Wireframes, Prototype, User flow, Style guide",Developer dan product manager,20 hari,7500000,Edukasi,Ya,Tidak
1671,Kami ingin membuat website company profile untuk firma hukum dengan form konsultasi,WordPress,Company Profile,"Profil pengacara, Layanan, Blog, Booking konsultasi",Klien potensial dan pengacara,25 hari,6500000,Hukum,Ya,Ya
1672,Butuh tool berbasis web untuk mengelola aset perusahaan dan maintenance schedule,Vue.js,Tool Berbasis Web/Software,"Asset tracking, Reminder, Reporting, User roles",Staf IT dan manajer aset,45 hari,16000000,Properti,Ya,Ya
1673,Ingin membuat e-commerce khusus menjual produk digital seperti ebook dan video course,WooCommerce,E-Commerce,"Download digital, Membership, Coupon, Analytics",Penulis dan kreator konten,35 hari,9500000,Edukasi,Ya,Ya
1674,Kami butuh aplikasi mobile untuk memonitor kinerja sales dengan gamifikasi,Flutter,Aplikasi Mobile,"Leaderboard, Target tracking, Push notification",Tim sales dan manajer,40 hari,17500000,Retail,Ya,Tidak
1675,Tolong buatkan website untuk reservasi hotel dengan integrasi kalender dan payment,PHP,Website,"Booking, Calendar view, Payment gateway, Filter pencarian",Traveler dan admin hotel,55 hari,23000000,Travel,Ya,Ya
1676,Kami memerlukan sistem backend untuk mengelola data survey customer satisfaction,Django,Sistem Backend,"Form builder, Analytics, Export data, Visualization",Tim marketing dan management,30 hari,15500000,Konsultan,Tidak,Ya
1677,Butuh landing page untuk kampanye promosi diskon akhir tahun dengan countdown timer,React,Landing Page,"Countdown, Form registrasi, Social share, Katalog promo",Pelanggan dan prospect,10 hari,2500000,Retail,Ya,Ya
1678,Perusahaan kami perlu integrasi API dengan marketplace untuk sinkronisasi produk,Java,API,"Data mapping, Scheduler, Error handling, Monitoring",Tim operasional dan IT,30 hari,13500000,E-Commerce,Tidak,Ya
1679,Tolong buatkan tool berbasis web untuk manajemen proyek internal tim marketing kami,MERN Stack,Tool Berbasis Web/Software,"Kanban board, Time tracking, File sharing, Milestone",Tim marketing dan project manager,40 hari,18500000,Agensi,Ya,Ya
1680,Kami membutuhkan aplikasi desktop untuk mempermudah proses input data laboratorium,.NET,Aplikasi Desktop,"Data entry, Graph visualization, Export report, Backup",Teknisi lab dan analis,35 hari,14000000,Farmasi,Ya,Tidak
1681,Perusahaan kami membutuhkan company profile untuk meningkatkan visibilitas di internet,WordPress,Company Profile,"Halaman About Us, Gallery, Testimonial, Contact Form",Calon Customer B2B,30 hari,8000000,Manufaktur,Ya,Ya
1682,Butuh web e-commerce untuk jualan produk fashion kami,WooCommerce,E-Commerce,"Katalog Produk, Checkout, Payment Gateway, Order Tracking",Pria/Wanita 20-35 tahun,45 hari,15000000,Fashion,Ya,Ya
1683,Kami memerlukan landing page untuk promosi event tahunan,Bootstrap,Landing Page,"Form Registration, Countdown, FAQ, Gallery",Profesional Marketing,14 hari,3500000,Event Organizer,Ya,Ya
1684,Butuh aplikasi pencatatan stok barang terintegrasi dengan kasir,Laravel,Aplikasi Desktop,"Inventory Management, Report, User Management, Barcode Scanner",Staff Operasional,60 hari,20000000,Retail,Tidak,Tidak
1685,Perlu API untuk integrasi pembayaran dengan aplikasi kami,Node.js,API,"Endpoint Transaksi, Authentication, Reporting",Developer,21 hari,12000000,Fintech,Tidak,Ya
1686,Ingin mobile app untuk loyalty program pelanggan,React Native,Aplikasi Mobile,"Point Collection, Rewards, User Profile, Push Notification",Customer Retail,45 hari,18000000,F&B,Ya,Ya
